GEOID,Indicator,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Hamburg,"Manufacture of computer, electronic and optical products  Wages and Salaries - million euro",290.5,292.2,304.1,283.7,281.7,312.6,340.3,343.1,343.4,302.3,302
Hamburg,Sale of motor vehicles  Wages and Salaries - million euro,126.2,178.6,172.4,200.9,193,232.7,251.3,239.2,258.6,271.5,292.2
Hamburg,Manufacture of chemicals and chemical products  Wages and Salaries - million euro,150.3,151.9,166.7,193.7,202.3,212.7,227.1,232,246,261.2,285.7
Hamburg,Programming and broadcasting activities  Wages and Salaries - million euro,218.8,223,227.9,231,236.6,,,250.8,258.9,264.9,270
Hamburg,"Other professional, scientific and technical activities  Wages and Salaries - million euro",63.6,67.3,83.5,109.8,126.9,135.9,144.9,152.8,194.2,233.5,262.5
Hamburg,Other manufacturing  Wages and Salaries - million euro,148.9,143.9,162.2,167.1,180.5,180.4,184.1,204.1,219.2,231.2,243.9
Hamburg,Accommodation  Wages and Salaries - million euro,123.1,153.8,151.4,153.9,174.8,168,187.1,209.5,239.3,276.5,229.6
Hamburg,Manufacture of rubber and plastic products  Wages and Salaries - million euro,150.4,126,162.7,154,166.6,174.7,172.5,196.9,189.2,196.5,205.9
Hamburg,Construction of buildings  Wages and Salaries - million euro,333.5,144.9,146.9,153.1,137,140.1,143.1,153.5,150.7,191,198.5
Hamburg,Security and investigation activities  Wages and Salaries - million euro,146.4,137.9,131.3,107.8,123.4,128.8,178.2,186.7,188.1,216.9,198.3
Hamburg,"Motion picture, video and television programme production, sound recording and music publishing activities  Wages and Salaries - million euro",142.5,150.8,154.7,168.8,162.7,162.3,166.9,174.4,165.2,169.2,195.3
Hamburg,Non-specialised wholesale trade  Wages and Salaries - million euro,124.2,185.5,169.2,186.5,190.1,516.1,523.8,457.5,450.6,178.1,167
Hamburg,Retail sale of other household equipment in specialised stores  Wages and Salaries - million euro,131.7,136,140.1,175,176,69.5,109.7,123.8,113.2,127.3,140.5
Hamburg,Retail sale of cultural and recreation goods in specialised stores  Wages and Salaries - million euro,70.7,82.5,91.4,115.3,112.6,159.1,156.7,149.7,142.4,148.7,135.2
Hamburg,"Travel agency, tour operator and other reservation service and related activities  Wages and Salaries - million euro",79.7,82.8,86.9,80.1,85.6,95.7,90.1,88,99.3,101,121.1
Hamburg,Wholesale of information and communication equipment  Wages and Salaries - million euro,282.6,273.2,288.2,318.8,279.2,111.1,117.3,122.3,136.8,141.6,113.1
Hamburg,Civil engineering  Wages and Salaries - million euro,38,67.6,70.9,71.6,82,86.5,85.6,73.9,79.3,90.3,112
Hamburg,"Retail sale of food, beverages and tobacco in specialised stores  Wages and Salaries - million euro",51.3,57.1,59.3,53.3,56.5,83.4,92.3,109.2,116.5,115.7,105.5
Hamburg,Maintenance and repair of motor vehicles  Wages and Salaries - million euro,82.3,93.1,100.9,101,110.9,52,78.7,87.9,77.5,92.6,96.7
Hamburg,Sale of motor vehicle parts and accessories  Wages and Salaries - million euro,44,51.1,72.4,80.2,77.7,94.6,84.1,91.8,112.2,89.3,94.3
Hamburg,Manufacture of basic pharmaceutical products and pharmaceutical preparations  Wages and Salaries - million euro,41,45.5,54.3,71.9,66.7,73.1,73.4,71.6,73.2,77.4,85.1
Hamburg,"Manufacture of fabricated metal products, except machinery and equipment  Wages and Salaries - million euro",66.6,67.3,71.9,76.8,77.2,84.7,78.4,78.8,74.2,75.1,80
Hamburg,Mining and quarrying  Wages and Salaries - million euro,,,,72,,76.4,,,,,78.3
Hamburg,Manufacture of electrical equipment  Wages and Salaries - million euro,72,68.5,90.3,96.5,96.8,94.4,95.2,91.2,93.8,97.8,66.8
Hamburg,Wholesale of agricultural raw materials and live animals  Wages and Salaries - million euro,42.3,47.3,50,51,50.3,62.1,66.3,53.2,64.7,58.5,56.2
Hamburg,Printing and reproduction of recorded media  Wages and Salaries - million euro,77.4,78.4,64,54.7,54.4,51.4,52.2,51.8,47.3,48.2,48.1
Hamburg,Telecommunications  Wages and Salaries - million euro,116.3,122.8,41.6,39,45.5,,,35.5,57,53.8,43.6
Hamburg,Retail sale of information and communication equipment in specialised stores  Wages and Salaries - million euro,38.7,48.9,52.6,61.5,69.1,53.3,42.8,41.6,48.2,42.6,42.2
Hamburg,Manufacture of other non-metallic mineral products  Wages and Salaries - million euro,40.1,34.8,29,27.7,27.9,26.7,27.5,24.1,28.7,25.1,30.1
Hamburg,Wholesale on a fee or contract basis  Wages and Salaries - million euro,29.5,63.3,42.6,52,52.9,38.9,44.7,49.2,50.2,41.8,25.4
Hamburg,Repair of computers and personal and household goods  Wages and Salaries - million euro,34.5,18.3,14.2,13.3,16.1,15.6,19.5,19.8,21.5,23.2,24.2
Hamburg,Retail sale of automotive fuel in specialised stores  Wages and Salaries - million euro,14.1,20,20.7,20.4,19.5,4.4,11.2,10.6,12.1,15.2,19.2
Hamburg,Air transport  Wages and Salaries - million euro,28.9,14.4,16.5,2.8,3.4,4.9,5.3,8.6,10.7,13.3,16.6
Hamburg,Manufacture of beverages  Wages and Salaries - million euro,39.4,25.6,21.6,18.6,18.3,17.4,18.3,17.5,21.1,19.2,15.1
Hamburg,Veterinary activities  Wages and Salaries - million euro,3.9,4.1,4.2,4.5,4.8,4.7,8.5,6.3,7.6,7.2,9.6
Hamburg,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials  Wages and Salaries - million euro",7.8,5.3,6.2,6.8,7,7,9.2,5.6,7.7,7.6,7
Hamburg,Retail sale via stalls and markets  Wages and Salaries - million euro,2.7,2.7,2.2,2.1,2.3,2.3,3.7,5.1,6.3,6,6.6
Hamburg,"Sale, maintenance and repair of motorcycles and related parts and accessories  Wages and Salaries - million euro",10.3,9.8,9.8,11.9,12.3,4.3,3.8,9.5,5.7,5.2,5.1
Hamburg,Manufacture of textiles  Wages and Salaries - million euro,,,,2.7,,,,,,,2.5
Hamburg,Mining of coal and lignite  Wages and Salaries - million euro,0,0,0,0,0,0,0,0,0,0,0
Hamburg,Mining of metal ores  Wages and Salaries - million euro,0,0,0,0,0,0,0,0,0,0,0
Hamburg,Mining support service activities  Wages and Salaries - million euro,0,0,0,0,0,0,0,0,0,0,0
Hamburg,Manufacture of wearing apparel  Wages and Salaries - million euro,,,0,0,0,0,0,0,0,0,0
Hessen,Mining of coal and lignite  Growth rate of employment - percentage,,,,,,,,,,,
Hessen,Extraction of crude petroleum and natural gas  Growth rate of employment - percentage,,,,,,,,,,,
Hessen,Mining of metal ores  Growth rate of employment - percentage,,,,,,,,,,,
Hessen,Other mining and quarrying  Growth rate of employment - percentage,,-9.1,8.3,-13.6,-7.8,-9.4,1.5,3.3,6.1,,
Hessen,Mining support service activities  Growth rate of employment - percentage,,,,,,,,,,,
Hessen,Manufacture of tobacco products  Growth rate of employment - percentage,,,,,,,,,,,
Hessen,Manufacture of leather and related products  Growth rate of employment - percentage,,,,,,,,,,,
Hessen,Manufacture of coke and refined petroleum products  Growth rate of employment - percentage,,,,,,,,,,,
Hessen,"Waste collection, treatment and disposal activities; materials recovery  Growth rate of employment - percentage",,,,,,,,,,,
Hessen,Remediation activities and other waste management services  Growth rate of employment - percentage,,,,,,,,,,,
Hessen,"Electricity, gas, steam and air conditioning supply  Growth rate of employment - percentage",,0.3,-2.4,-0.8,1.3,0.5,1.1,2.8,1.5,-0.4,32.6
Hessen,Wholesale of information and communication equipment  Growth rate of employment - percentage,,-6.1,18.4,17.9,-9.8,-23.5,7.7,-1.2,14.4,-5.1,31.3
Hessen,Retail sale via stalls and markets  Growth rate of employment - percentage,,5.4,-0.5,0.4,-5.8,-15,22,-39.9,-5.2,14.5,27.9
Hessen,Sale of motor vehicle parts and accessories  Growth rate of employment - percentage,,21.6,1.2,10.1,0,0.8,-8.4,13.8,-3.1,2.1,21.1
Hessen,Wholesale on a fee or contract basis  Growth rate of employment - percentage,,111.5,-25.8,5.3,6.7,-24.1,22.7,1.3,-6.2,-5.6,14.7
Hessen,"Wholesale of other machinery, equipment and supplies  Growth rate of employment - percentage",,29,5.9,5,0.9,-0.5,7.2,16.5,3.1,0.2,13.4
Hessen,"Other professional, scientific and technical activities  Growth rate of employment - percentage",,17.3,-4.1,9.1,5.2,-2,-7.2,1.5,13.2,9.9,11.7
Hessen,Retail sale of cultural and recreation goods in specialised stores  Growth rate of employment - percentage,,16.1,9.6,23.3,-9.1,-44.3,8.9,-2.6,-2.3,-4.2,10.4
Hessen,Sewerage  Growth rate of employment - percentage,,3.6,1.1,1.3,-0.8,11.6,-6.5,3.8,0.3,1.1,10.3
Hessen,Postal and courier activities  Growth rate of employment - percentage,,23.5,-4.3,15,-0.4,19.3,19.1,-7.2,0.8,-19.4,9.2
Hessen,Information service activities  Growth rate of employment - percentage,,-31.8,-10.7,22.5,15.4,-13.6,10.7,-9.9,-3.4,6.3,9
Hessen,Activities of head offices; management consultancy activities  Growth rate of employment - percentage,,0.6,1.1,1.8,1.1,7.6,16.9,-5.4,26.1,2.6,8.7
Hessen,Warehousing and support activities for transportation  Growth rate of employment - percentage,,-0.2,-1.9,3.2,-0.8,3.3,9.2,-4.8,9.3,3,8.5
Hessen,"Water supply; sewerage, waste management and remediation activities  Growth rate of employment - percentage",,-3.7,5.6,5.4,7.7,-1.4,21,-0.9,3.3,4.4,8.4
Hessen,"Computer programming, consultancy and related activities  Growth rate of employment - percentage",,11.9,-8.3,42.4,3.7,8.3,-2,-0.8,5.4,3.6,8.4
Hessen,Retail sale in non-specialised stores  Growth rate of employment - percentage,,24.3,-5.7,4.4,-1.2,-36.2,0.4,14.1,-12.5,4.1,7
Hessen,Wholesale and retail trade and repair of motor vehicles and motorcycles  Growth rate of employment - percentage,,13.9,-0.7,5,-1.4,-4.2,2.6,0.6,2.2,4.1,6.8
Hessen,Information and communication  Growth rate of employment - percentage,,4.2,-1.7,2.9,3.1,1.9,-2.2,-1.7,2.6,3.4,6.8
Hessen,Sale of motor vehicles  Growth rate of employment - percentage,,5.3,-5.6,5.4,-3.7,-10.2,2.9,-7,14.1,9.7,6.2
Hessen,"Retail trade not in stores, stalls or markets  Growth rate of employment - percentage",,6.9,9,10.1,2.6,-16.2,1.1,20.8,1.2,7.6,5.9
Hessen,Civil engineering  Growth rate of employment - percentage,,90.6,-2.8,14.1,-0.9,1.7,-2.3,-3.4,3.5,7.7,5.2
Hessen,Transportation and storage  Growth rate of employment - percentage,,3.6,-2.6,9.1,-0.5,6.4,6.9,-3.6,6.7,-0.5,5.2
Hessen,Construction of buildings  Growth rate of employment - percentage,,-43.7,1.4,2.7,2.9,0.7,-3.7,-1.4,30.8,9.4,5.1
Hessen,Veterinary activities  Growth rate of employment - percentage,,10.8,-4.6,7.3,0,2.8,9.2,3,17.6,5.1,5.1
Hessen,Construction  Growth rate of employment - percentage,,159.9,3.3,4.3,6.1,1,10.5,1.1,5.8,4.7,5
Hessen,Specialised construction activities  Growth rate of employment - percentage,,1180.7,4.7,3,7.9,0.9,15.3,2.1,2.4,3.4,4.9
Hessen,Manufacture of other transport equipment  Growth rate of employment - percentage,,-12.6,78,-4.9,1.7,-3.2,4.2,1.6,-1.2,1.1,4.5
Hessen,"Professional, scientific and technical activities  Growth rate of employment - percentage",,4,-2.7,6.5,1.5,7,10.2,-0.7,8.3,0.8,4.5
Hessen,"Office administrative, office support and other business support activities  Growth rate of employment - percentage",,31.4,-7.5,35.3,-4.2,19.3,-14.3,2.7,2.6,2,4.2
Hessen,Architectural and engineering activities; technical testing and analysis  Growth rate of employment - percentage,,-3.6,2.9,10.4,-1.9,9.9,17.9,-3.1,2.9,-1.2,3.8
Hessen,Manufacture of beverages  Growth rate of employment - percentage,,1.6,24,1.3,2.1,-0.7,3,5.8,0.1,0.6,3.7
Hessen,"Motion picture, video and television programme production, sound recording and music publishing activities  Growth rate of employment - percentage",,5.9,-20.3,9.7,1.2,-0.4,8.4,9.7,-9.6,4.1,3.1
Hessen,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials  Growth rate of employment - percentage",,-10.4,16.6,4.8,-1.4,0.4,-1.8,-2,0.4,1.5,3
Hessen,Manufacture of basic metals  Growth rate of employment - percentage,,-4,17.5,8.7,0.8,-1.5,-6.4,12,-1.5,-1.1,3
Hessen,Manufacture of basic pharmaceutical products and pharmaceutical preparations  Growth rate of employment - percentage,,-30,11.2,-1.6,1.6,1.2,3.3,4.3,-0.9,1.3,2.8
Hessen,"Manufacture of computer, electronic and optical products  Growth rate of employment - percentage",,-0.6,9.9,6.6,1.9,0.5,-1.5,5,1.3,4.8,2.6
Hessen,Manufacture of machinery and equipment n.e.c.  Growth rate of employment - percentage,,-6.4,15.6,3.5,0,-0.8,1.4,1.2,-0.9,1.7,2.6
Hessen,Repair of computers and personal and household goods  Growth rate of employment - percentage,,1.7,-2.8,-25.5,-11.4,-3.7,16.7,-12,20.8,5.5,2.6
Hessen,"Sale, maintenance and repair of motorcycles and related parts and accessories  Growth rate of employment - percentage",,11.7,-3.9,13.6,1.5,-8.5,-6.5,-15.2,0.9,2.6,2.5
Hessen,Rental and leasing activities  Growth rate of employment - percentage,,-10.9,-10.7,9.1,-1.4,-8.5,25.7,5.5,4.8,3,2.5
Hessen,Services to buildings and landscape activities  Growth rate of employment - percentage,,15.2,-2.7,15.8,1.9,3.9,19.3,2.4,8.5,4.4,2.5
Hessen,Accommodation  Growth rate of employment - percentage,,20.4,-4.6,4.1,2.8,-5.3,8.5,1.8,-3.6,2,2.3
Hessen,Real estate activities  Growth rate of employment - percentage,,-22.5,-25.6,6.8,4.6,9.9,9,-4.1,32.5,-2,2.2
Hessen,Telecommunications  Growth rate of employment - percentage,,6.2,-11.1,-82.3,-11.3,4.9,11,-2.5,9.8,4.2,2.1
Hessen,Manufacture of textiles  Growth rate of employment - percentage,,-10.9,14.1,3.9,2,0.4,0.7,-1.6,-2.3,7.9,1.9
Hessen,Manufacture of electrical equipment  Growth rate of employment - percentage,,-44,12.3,3.2,-0.1,-5,1.2,-7.6,-0.7,-2.8,1.8
Hessen,Scientific research and development  Growth rate of employment - percentage,,14.5,-5.3,36.8,1.3,2.5,70,23.1,-31.3,-8.1,1.8
Hessen,Manufacture of other non-metallic mineral products  Growth rate of employment - percentage,,-2.7,15.6,1.9,1.1,2.6,1.7,14.6,-0.4,0.6,1.6
Hessen,"Manufacture of fabricated metal products, except machinery and equipment  Growth rate of employment - percentage",,-12.9,15.8,4,-0.7,-0.8,1.7,-7.4,-2.4,3,1.6
Hessen,Manufacture of food products  Growth rate of employment - percentage,,-4.4,18,1.7,-1.7,-1.2,1.9,-0.4,0.4,0.4,1.4
Hessen,Manufacture of paper and paper products  Growth rate of employment - percentage,,-2.7,15,-0.8,-1.2,-0.9,-0.8,-0.1,-0.9,2.7,1.2
Hessen,Land transport and transport via pipelines  Growth rate of employment - percentage,,5.8,-3.8,15.9,0.3,6,-0.4,-1.3,6,2,1.2
Hessen,Manufacturing  Growth rate of employment - percentage,,-5.2,17.1,2.5,0.3,-0.5,0.9,0,-0.7,0.9,1.1
Hessen,Repair and installation of machinery and equipment  Growth rate of employment - percentage,,-6.8,16,6.7,-1.8,2.1,-1.3,-2.2,-1.6,1.8,0.9
Hessen,Wholesale and retail trade; repair of motor vehicles and motorcycles  Growth rate of employment - percentage,,20.5,-0.8,6.5,-2.7,-18.8,5.5,2.7,1.6,1.5,0.9
Hessen,Legal and accounting activities  Growth rate of employment - percentage,,5.2,-5.7,7.5,2,1,1.9,2,8,0.1,0.8
Hessen,Advertising and market research  Growth rate of employment - percentage,,11.6,-10.7,-9.5,7.6,34.5,-6,-10.1,12.3,-0.5,0.7
Hessen,"Wholesale of food, beverages and tobacco  Growth rate of employment - percentage",,9.9,8.8,6.2,-0.8,-13.9,6.1,9.6,12.6,-2.7,0.6
Hessen,Retail sale of information and communication equipment in specialised stores  Growth rate of employment - percentage,,9.8,-10,24.5,-3,-31.4,4.9,0.7,12.4,5.2,0.6
Hessen,Manufacture of rubber and plastic products  Growth rate of employment - percentage,,-6.3,20.8,2,0.8,1.4,0.9,-1.2,-0.2,0.8,0.5
Hessen,Accommodation and food service activities  Growth rate of employment - percentage,,38.4,-0.4,4.7,0,-5.1,10.5,4.5,13.2,2.7,0.5
Hessen,Mining and quarrying  Growth rate of employment - percentage,,-9.1,8.3,-13.6,-7.8,-9.4,1.5,3.3,6.1,53.5,0.2
Hessen,Manufacture of chemicals and chemical products  Growth rate of employment - percentage,,24.1,19.5,1.1,0.3,-0.3,-0.4,-2.1,-3,1.4,0.1
Hessen,Wholesale of agricultural raw materials and live animals  Growth rate of employment - percentage,,12.1,6.3,0.5,-1.6,-47.2,9.4,14.6,-6.4,6.2,0.1
Hessen,Food and beverage service activities  Growth rate of employment - percentage,,45.2,1,4.9,-0.8,-5.1,11.1,5.3,18,2.8,0.1
Hessen,"Wholesale trade, except of motor vehicles and motorcycles  Growth rate of employment - percentage",,30.3,-1.3,8.3,-2.6,-3.7,5.9,0.1,-0.4,0.3,-0.1
Hessen,"Retail trade, except of motor vehicles and motorcycles  Growth rate of employment - percentage",,16.2,-0.4,5.7,-3.1,-33.3,6.2,6,3.4,1.9,-0.2
Hessen,"Water collection, treatment and supply  Growth rate of employment - percentage",,-4.6,-0.2,2.1,0.4,0.7,-0.2,-2.1,13.2,-0.5,-0.5
Hessen,"Manufacture of motor vehicles, trailers and semi-trailers  Growth rate of employment - percentage",,,13.7,1.5,2.3,0.6,2.3,3.9,0,1.6,-0.8
Hessen,Maintenance and repair of motor vehicles  Growth rate of employment - percentage,,29.7,7.8,0.6,1.5,3,9.9,5.4,-9,-3.2,-0.8
Hessen,Programming and broadcasting activities  Growth rate of employment - percentage,,-4.2,0.5,6.7,-9.8,-0.9,1.2,-2.2,0.3,1.4,-0.8
Hessen,Manufacture of furniture  Growth rate of employment - percentage,,-6,13.8,3.3,10.1,-1.7,2.3,-6.2,2.7,-2,-1.6
Hessen,Publishing activities  Growth rate of employment - percentage,,3.8,40.8,-14.6,0.2,-13.9,-14,-3.6,-7.1,0.6,-1.6
Hessen,Air transport  Growth rate of employment - percentage,,-11.1,3.7,1.4,-6.3,9.8,15.3,0.4,7.3,-5.4,-1.7
Hessen,Other manufacturing  Growth rate of employment - percentage,,2,35.7,1.2,-3.4,3.1,3.8,-2.1,2.5,-3.4,-1.8
Hessen,Security and investigation activities  Growth rate of employment - percentage,,14.9,-6.1,24.1,10.3,-8.3,9.4,-1.7,29.9,-9,-2.1
Hessen,"Travel agency, tour operator and other reservation service and related activities  Growth rate of employment - percentage",,-2.4,42.9,16.9,-1.7,11.9,-19.5,16,-2.3,-3.9,-2.5
Hessen,Other specialised wholesale  Growth rate of employment - percentage,,27.1,1.5,11.6,-0.9,14.6,3.8,-2.7,-4,2.1,-2.7
Hessen,Printing and reproduction of recorded media  Growth rate of employment - percentage,,-12.9,13.4,-3.5,-0.1,-7.8,0,-3.2,-6.1,-4,-2.8
Hessen,Administrative and support service activities  Growth rate of employment - percentage,,-5.1,8.3,14.9,-2.4,3.7,4.3,0.3,11.5,-1.8,-3
Hessen,"Retail sale of food, beverages and tobacco in specialised stores  Growth rate of employment - percentage",,18.4,8.8,0.3,2.4,-5.6,21.8,-2.7,79.9,-11.9,-3.1
Hessen,Manufacture of wearing apparel  Growth rate of employment - percentage,,-27.1,58.4,-2.4,-3.2,-20.6,-10.8,-4.7,4,4.6,-5.1
Hessen,Retail sale of other goods in specialised stores  Growth rate of employment - percentage,,10.5,2.1,0.8,-4.6,-31.4,10.4,2.8,2.4,6.6,-5.8
Hessen,Non-specialised wholesale trade  Growth rate of employment - percentage,,50.2,-21.4,17.7,4.9,-11.3,-3,-0.7,-38.7,-7.7,-6.1
Hessen,Retail sale of other household equipment in specialised stores  Growth rate of employment - percentage,,10.8,-1.4,12.1,-5.5,-43.7,6.5,0.2,4.3,-2.1,-6.5
Hessen,Water transport  Growth rate of employment - percentage,,8.7,-5.2,-6.5,37.8,-12.4,45.2,-18.5,-22.9,13.8,-8.9
Hessen,Employment activities  Growth rate of employment - percentage,,-26.4,23.8,6.3,-6.6,-1.9,5.2,-4.5,17.8,-7.3,-12.2
Hessen,Wholesale of household goods  Growth rate of employment - percentage,,42.6,-5.4,5,-5.8,3.1,5.9,-8,-0.6,3.4,-16.6
Hessen,Retail sale of automotive fuel in specialised stores  Growth rate of employment - percentage,,44.9,4.8,-1.4,-2.9,-41.6,-20.4,10.4,-41.3,-3.7,-20.3
Hessen,"Waste collection, treatment and disposal activities; materials recovery  Local units - number",,,,,,,,,,,
Hessen,Remediation activities and other waste management services  Local units - number,,,,,,,,,,,
Hessen,Wholesale and retail trade; repair of motor vehicles and motorcycles  Local units - number,,,,,,,57049,58336,58762,59788,58654
Hessen,"Professional, scientific and technical activities  Local units - number",30638,36737,32078,34664,34389,38726,41459,42106,46089,48705,49789
Hessen,"Retail trade, except of motor vehicles and motorcycles  Local units - number",,,,,,,33135,34253,34956,35539,34421
Hessen,Construction  Local units - number,906,17983,18748,18426,19393,18974,24076,23850,25161,23954,25876
Hessen,Specialised construction activities  Local units - number,153,15798,16581,16165,17182,16749,21829,21672,22811,21534,23396
Hessen,Accommodation and food service activities  Local units - number,,,,,,,19056,18761,19751,20559,21209
Hessen,Administrative and support service activities  Local units - number,12418,14773,13841,15965,15783,16211,17690,17720,19933,20708,19867
Hessen,Food and beverage service activities  Local units - number,,,,,,,15844,15409,16520,17044,17601
Hessen,"Wholesale trade, except of motor vehicles and motorcycles  Local units - number",,,,,,,15027,15344,14664,14884,14684
Hessen,Information and communication  Local units - number,9365,11396,10312,10377,9905,10514,12376,12578,12829,13916,14551
Hessen,Legal and accounting activities  Local units - number,8549,10136,9312,10343,10209,11148,11030,11394,12628,13894,13858
Hessen,Retail sale of other goods in specialised stores  Local units - number,,,,,,,13326,13937,13156,13421,12719
Hessen,Manufacturing  Local units - number,2751,2725,14230,13989,13896,13475,13685,13290,12851,12739,12557
Hessen,Real estate activities  Local units - number,14593,10865,6410,7483,7653,7939,9304,8851,12359,11047,12126
Hessen,Activities of head offices; management consultancy activities  Local units - number,6211,7274,6607,6955,7481,8458,10437,10222,12038,11983,11872
Hessen,Architectural and engineering activities; technical testing and analysis  Local units - number,8350,8430,8425,8553,8245,9353,10752,10823,10498,10724,11554
Hessen,"Computer programming, consultancy and related activities  Local units - number",6445,8255,7519,7100,7146,7556,8867,9244,9949,10757,11069
Hessen,Transportation and storage  Local units - number,8910,11422,7921,9222,8654,9141,10872,10325,11405,11692,10367
Hessen,Wholesale and retail trade and repair of motor vehicles and motorcycles  Local units - number,,,,,,,8887,8740,9142,9364,9550
Hessen,Services to buildings and landscape activities  Local units - number,3986,5058,4593,5268,5439,6049,7593,7850,8498,8900,9109
Hessen,"Other professional, scientific and technical activities  Local units - number",4016,6858,4557,5627,5649,5770,4782,5125,6514,7619,7933
Hessen,Land transport and transport via pipelines  Local units - number,5215,7497,4833,5873,5752,5553,5245,4997,5705,5822,6035
Hessen,"Office administrative, office support and other business support activities  Local units - number",2979,4404,3825,5248,4978,4155,4321,3885,4576,4954,5439
Hessen,Retail sale in non-specialised stores  Local units - number,,,,,,,5537,5657,5014,5517,5292
Hessen,"Retail sale of food, beverages and tobacco in specialised stores  Local units - number",,,,,,,4013,3564,5187,4604,4422
Hessen,Retail sale of other household equipment in specialised stores  Local units - number,,,,,,,3617,3776,4145,4269,4084
Hessen,Maintenance and repair of motor vehicles  Local units - number,,,,,,,3946,3922,4016,3875,3896
Hessen,"Electricity, gas, steam and air conditioning supply  Local units - number",134,137,143,149,157,154,145,156,151,154,3685
Hessen,Accommodation  Local units - number,,,,,,,3213,3352,3231,3514,3608
Hessen,Sale of motor vehicles  Local units - number,,,,,,,3091,2923,3027,3417,3477
Hessen,Wholesale of household goods  Local units - number,,,,,,,3630,3708,3575,3791,3401
Hessen,"Retail trade not in stores, stalls or markets  Local units - number",,,,,,,2427,2929,3328,3367,3369
Hessen,Advertising and market research  Local units - number,2335,2763,2180,2045,1798,2641,3000,2919,3081,3041,3030
Hessen,Wholesale on a fee or contract basis  Local units - number,,,,,,,3350,3101,2477,2713,2747
Hessen,Other specialised wholesale  Local units - number,,,,,,,2630,2741,2652,2804,2711
Hessen,Retail sale of cultural and recreation goods in specialised stores  Local units - number,,,,,,,2239,2380,2393,2399,2463
Hessen,Warehousing and support activities for transportation  Local units - number,2229,2331,1826,1716,1820,1938,3705,3509,3718,3931,2451
Hessen,"Wholesale of other machinery, equipment and supplies  Local units - number",,,,,,,2329,2241,2290,2202,2306
Hessen,Construction of buildings  Local units - number,650,1700,1671,1718,1657,1621,1625,1592,1735,1751,1807
Hessen,Sale of motor vehicle parts and accessories  Local units - number,,,,,,,1388,1530,1718,1702,1792
Hessen,Manufacture of machinery and equipment n.e.c.  Local units - number,365,369,1918,1881,1889,1837,1889,1901,1822,1801,1773
Hessen,"Manufacture of fabricated metal products, except machinery and equipment  Local units - number",367,375,1904,1851,1830,1810,1878,1796,1748,1794,1744
Hessen,Rental and leasing activities  Local units - number,1639,1738,1335,1379,1378,1505,1402,1469,1657,1734,1704
Hessen,Postal and courier activities  Local units - number,1298,1438,990,1483,923,1504,1683,1637,1709,1620,1695
Hessen,"Wholesale of food, beverages and tobacco  Local units - number",,,,,,,1315,1405,1508,1553,1605
Hessen,Employment activities  Local units - number,2001,1537,1637,1455,1403,1594,1702,1701,2229,2192,1570
Hessen,Retail sale of information and communication equipment in specialised stores  Local units - number,,,,,,,1174,1301,1199,1429,1534
Hessen,Information service activities  Local units - number,996,1072,918,1446,1095,1341,1575,1371,1101,1277,1468
Hessen,Manufacture of food products  Local units - number,334,320,1723,1699,1656,1586,1599,1518,1489,1448,1454
Hessen,"Travel agency, tour operator and other reservation service and related activities  Local units - number",1517,1660,2059,2332,2227,2497,2134,2232,2278,2270,1388
Hessen,Manufacture of rubber and plastic products  Local units - number,223,224,1177,1149,1137,1115,1140,1103,1051,1049,1021
Hessen,Repair of computers and personal and household goods  Local units - number,1022,981,1122,867,794,768,968,781,965,994,1006
Hessen,Wholesale of information and communication equipment  Local units - number,,,,,,,745,932,988,834,952
Hessen,Veterinary activities  Local units - number,671,717,656,703,660,825,740,775,897,888,925
Hessen,Manufacture of other non-metallic mineral products  Local units - number,166,170,885,879,858,870,875,888,890,867,867
Hessen,"Water supply; sewerage, waste management and remediation activities  Local units - number",289,286,301,313,316,321,352,347,339,339,819
Hessen,Manufacture of chemicals and chemical products  Local units - number,143,146,800,798,819,808,843,804,765,768,759
Hessen,"Motion picture, video and television programme production, sound recording and music publishing activities  Local units - number",509,598,481,568,524,554,621,684,615,672,741
Hessen,"Manufacture of computer, electronic and optical products  Local units - number",140,143,767,779,812,764,773,753,757,743,739
Hessen,Manufacture of electrical equipment  Local units - number,70,168,871,839,851,801,822,795,782,740,729
Hessen,Publishing activities  Local units - number,695,819,815,763,723,733,841,824,683,671,729
Hessen,Civil engineering  Local units - number,104,485,496,543,554,604,622,586,615,669,673
Hessen,Security and investigation activities  Local units - number,296,376,392,283,357,411,539,582,695,658,656
Hessen,Repair and installation of machinery and equipment  Local units - number,135,128,647,685,660,650,653,631,621,632,647
Hessen,Scientific research and development  Local units - number,507,559,342,439,349,532,718,848,433,555,618
Hessen,Wholesale of agricultural raw materials and live animals  Local units - number,,,,,,,401,461,415,436,515
Hessen,Telecommunications  Local units - number,697,630,552,366,387,295,444,419,444,505,509
Hessen,Other manufacturing  Local units - number,108,104,533,530,512,529,543,525,517,530,493
Hessen,Non-specialised wholesale trade  Local units - number,,,,,,,628,755,758,551,446
Hessen,Printing and reproduction of recorded media  Local units - number,135,126,676,628,628,572,559,524,471,447,434
Hessen,"Sale, maintenance and repair of motorcycles and related parts and accessories  Local units - number",,,,,,,463,365,381,371,385
