GEOID,Indicator,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Baden-Wuerttemberg,Manufacture of wearing apparel  Growth rate of employment - percentage,,-5.2,9.7,-6.5,1,-1.3,0.2,1.2,-0.8,-0.1,-7.7
Baden-Wuerttemberg,Maintenance and repair of motor vehicles  Growth rate of employment - percentage,,29.8,9,-0.3,1.4,3.2,-3,2.8,12.1,1.1,-8.7
Baden-Wuerttemberg,Employment activities  Growth rate of employment - percentage,,-18.2,41.2,8.5,-10.7,3.8,14.8,0.4,8.5,7.7,-9.8
Baden-Wuerttemberg,Retail sale of information and communication equipment in specialised stores  Growth rate of employment - percentage,,17.7,-5.1,11.4,1.6,-13.3,-9.2,-6.9,-1.1,0.6,-14.7
Baden-Wuerttemberg,Wholesale of agricultural raw materials and live animals  Growth rate of employment - percentage,,4.9,5.3,1.5,-1.9,76.8,9,-5.9,-0.4,10.7,-15.9
Baden-Wuerttemberg,Retail sale via stalls and markets  Growth rate of employment - percentage,,8.5,4.6,19.5,4.7,2.2,-8.5,10.7,6.4,17.3,-31.1
Baden-Wuerttemberg,Non-specialised wholesale trade  Growth rate of employment - percentage,,51.5,-22.4,22,5.1,-47.3,34.3,23.7,-1.6,-6,-45.8
Baden-Wuerttemberg,Wholesale and retail trade; repair of motor vehicles and motorcycles  Local units - number,,,,,,,103258,107914,107411,108761,108170
Baden-Wuerttemberg,"Professional, scientific and technical activities  Local units - number",48024,47387,48055,55401,53494,58473,69878,69861,68698,71498,76347
Baden-Wuerttemberg,"Retail trade, except of motor vehicles and motorcycles  Local units - number",,,,,,,60601,63476,63372,63737,63352
Baden-Wuerttemberg,Construction  Local units - number,1788,28859,29150,29874,31330,30066,38223,38377,41985,39072,40816
Baden-Wuerttemberg,Accommodation and food service activities  Local units - number,,,,,,,35628,36927,38369,38898,39743
Baden-Wuerttemberg,Specialised construction activities  Local units - number,261,25653,25946,26603,27858,26618,34553,34977,38519,35544,37316
Baden-Wuerttemberg,Food and beverage service activities  Local units - number,,,,,,,28178,29424,30781,31546,32794
Baden-Wuerttemberg,Manufacturing  Local units - number,7974,7941,35741,35004,34111,33960,33635,33116,32606,32313,31917
Baden-Wuerttemberg,Administrative and support service activities  Local units - number,14790,16371,15596,16137,15815,18428,23743,24312,25921,26576,30800
Baden-Wuerttemberg,"Wholesale trade, except of motor vehicles and motorcycles  Local units - number",,,,,,,26228,27430,26193,27196,25635
Baden-Wuerttemberg,Real estate activities  Local units - number,31936,34379,35304,36897,38265,40061,49543,19021,20250,21636,23734
Baden-Wuerttemberg,Retail sale of other goods in specialised stores  Local units - number,,,,,,,22994,24530,24329,23735,22787
Baden-Wuerttemberg,Information and communication  Local units - number,12224,11521,11970,13598,13459,14460,17538,18564,17588,19094,21989
Baden-Wuerttemberg,Architectural and engineering activities; technical testing and analysis  Local units - number,14836,15313,15189,17030,16625,18026,19938,20315,19929,20460,21805
Baden-Wuerttemberg,Wholesale and retail trade and repair of motor vehicles and motorcycles  Local units - number,,,,,,,16429,17008,17847,17827,19184
Baden-Wuerttemberg,Activities of head offices; management consultancy activities  Local units - number,10945,9615,10089,13673,12541,14555,17932,17034,16296,17157,18726
Baden-Wuerttemberg,Legal and accounting activities  Local units - number,12085,12626,12665,13303,12922,13498,16572,16744,17104,17157,18282
Baden-Wuerttemberg,"Computer programming, consultancy and related activities  Local units - number",8506,8267,9063,9979,9983,10736,13220,14220,13237,14655,17350
Baden-Wuerttemberg,Transportation and storage  Local units - number,11004,10640,10624,10795,10799,11375,14795,14267,14715,14426,15866
Baden-Wuerttemberg,Services to buildings and landscape activities  Local units - number,6587,7590,6924,7627,7472,8656,10392,10819,11934,12592,14460
Baden-Wuerttemberg,"Electricity, gas, steam and air conditioning supply  Local units - number",303,314,339,348,381,417,497,487,483,487,10996
Baden-Wuerttemberg,"Other professional, scientific and technical activities  Local units - number",4578,4580,4524,5930,5956,6761,8019,9045,8477,9585,10676
Baden-Wuerttemberg,Land transport and transport via pipelines  Local units - number,7415,7271,7297,6824,6799,6923,9184,8878,9111,8903,9520
Baden-Wuerttemberg,"Retail sale of food, beverages and tobacco in specialised stores  Local units - number",,,,,,,7050,6834,8332,8363,9466
Baden-Wuerttemberg,Maintenance and repair of motor vehicles  Local units - number,,,,,,,7127,7252,7615,7840,7946
Baden-Wuerttemberg,Retail sale of other household equipment in specialised stores  Local units - number,,,,,,,8329,7973,8303,8049,7884
Baden-Wuerttemberg,Retail sale in non-specialised stores  Local units - number,,,,,,,7835,9649,7492,7648,7704
Baden-Wuerttemberg,"Office administrative, office support and other business support activities  Local units - number",2601,2505,2725,3220,3316,4167,5568,5828,5996,6053,7215
Baden-Wuerttemberg,Accommodation  Local units - number,,,,,,,7450,7503,7588,7353,6949
Baden-Wuerttemberg,Sale of motor vehicles  Local units - number,,,,,,,5820,5987,6499,6218,6786
Baden-Wuerttemberg,"Retail trade not in stores, stalls or markets  Local units - number",,,,,,,4676,5498,5875,6567,6494
Baden-Wuerttemberg,"Manufacture of fabricated metal products, except machinery and equipment  Local units - number",1460,1492,6722,6539,6454,6570,6494,6390,6363,6375,6329
Baden-Wuerttemberg,Manufacture of machinery and equipment n.e.c.  Local units - number,1473,1468,6549,6365,6193,6100,6097,6038,5960,5948,5936
Baden-Wuerttemberg,Wholesale of household goods  Local units - number,,,,,,,5244,6115,5736,6275,5604
